Pond Name,Storm Date,Pond Index,Highest Bounce,Max Bounce Norm,Max Bounce,Decline Rate,Highest Decline Rate,Decline Rate Norm,Highest Inflow Rate,Inflow Rate Norm,Inflow Rate,Temp Variance Max,Temp Range Max,Temp Variance Norm,Temp Range Norm,Temp Variance,Temp Range,Attenuation,Urban Baseflow,Median.Water.Level,Constant.Water.Level,Contant.Water.Level.6in,Outlet.Water.Level,Below.Outlet.Water.Level,Water.Level.25.75.Quantile,Water.Level.10.90.Quantile,Pond.Skewness,L to W ratio,Pond Chain,Pipe,Rectangular Weir,Vnotch Weir,Other Weir,Other,Number of Outlets,Year Built,Pond Age,Total # Veg Species,# Native Species,# Non-native species,% Native Species,% Non-native species,LF Outlet Restrict,HF Outlet Restrict,LF Outlet Restrict Norm,HF Outlet Restrict,Watershed Area ft2,Pond Area ft2,WA/PA,Avg Pond Depth,Max Pond Depth,Res Time,Average Watershed Slope,Impervious Percent Recalc,Commercial Percent,Residential Percent,Greenspace Percent,Canopy Percent,Curve Number,Average Development Age,Total Richness,Plant Richness,Animal Richness,Invert Richness,Vert Richness,Fish Richness,Herp Richness,Amphib Richness,Chloride Change (%),YSI DO Change (%),Secchi Disk Change (%),SPC Change (%),Sulfate Change (%),Temperature Change (%),TN Change (%),TP Change (%),TSS Change (%),Nitrate Change (%),Ammonia Change (%),Secchi Disk Depth (cm),YSI DO (%),YSI DO (mg/L),Temperature (Degrees Celsius),SPC,TSS (mg/L),Chloride (mg/L),Sulfate (mg/L),TN (ug/L),TP (ug/L),Ammonia (ug/L),Nitrate (ug/L),avg_bd (g/cm3),avg_sed_cm,per_om,area est(g om/cm2),Percent.Days.Outflow,Peak Outflow,Chloride Difference,YSI DO Difference,Sulfate Difference,TN Difference,TP Difference,TSS  Difference,Ammonia Difference,Nitrate Difference,SPC Difference,Runoff Depth in,Max Runoff Depth,Runoff Depth Norm,Odor,Odor.Late,Trash Count,Trash.Late,Clar.Late,Odor.Diff,Trash.Diff,Clar.Diff,m_algae,m_sav,m_fl,m_emerg,Comm Percent 100m Buffer,Comm Percent 200m Buffer,Comm Percent 300m Buffer,Res Percent 100m Buffer,Res Percent 200m Buffer,Res Percent 300m Buffer,GS Percent 100m Buffer,GS Percent 200m Buffer,GS Percent 300m Buffer,Mow Distance
MadCity,14-Aug,14,3.611384246,0.651936389,2.354392804,-0.03248329,-0.046571126,0.697498489,341.8594808,0.021366875,7.304468955,7.25E+00,1.16E+01,1,1,7.253968872,11.57277778,12.9433837,100,1.842736426,31.9422426,61.70572861,0,0,0.540254981,0.969355696,0.855442336,0.639269406,0,1,0,0,0,0,2,2009,15,52,35,17,0.673076923,0.326923077,19.16253,53.96582,1.62E-06,4.57E-06,11818534.65,29134,405.6612427,128.2222222,128.2222222,0.010370145,1.0103613,38.10530278,0.580161911,0.315311566,0.104526523,29.04782906,84.58433045,1968.5,26,11,15,11,4,0,4,2,53.16212556,13.46938776,-3.973509934,NA,21.81307244,12.890625,0.788464559,-40.55319977,-80.35714286,-97.69047784,-79.71521517,30.2,60,4.9,25.6,NA,14,10.4123,4.804,566.671,128.525,126.341,43.299,0.502038978,4.444444444,0.077133457,0.172106675,100,155.6037,5.5354,0.66,1.0479,4.468,-52.121,-11.25,-100.713,-42.601,NA,1.170541438,1.448291207,0.808222429,-1,-1,40,30,29,0,-10,-1.2,0,0,68.2,0,0.046291709,0.13426762,0.1706796,0,0,0,0.953708291,0.86573238,0.8293204,158.7
Baxter,14-Aug,15,2.79208223,0.652337269,1.821379298,-0.05010192,-0.075209587,0.666164009,193.4754923,0.069500757,13.44669311,25.31616694,23.54166667,0.730293417,0.867185841,18.48823007,20.415,11.9852624,7.975460123,0.59307888,22.66460839,43.27522995,42.75637315,87.146502,0.565819995,0.773979566,0.29814068,0.6,0,0,1,0,0,0,1,1997,27,22,18,4,0.818181818,0.181818182,11.99606,13.32511,2.97E-06,3.29E-06,4045886.741,16998,238.0213402,34.88888889,48,0.004809017,0.9215568,22.34570671,0.159005435,0.745899671,0.095094894,48.8935705,77.25403251,1989.59434,38,12,26,21,5,0,5,3,88.76637499,669.7297297,-60.83333333,NA,-57.0826087,25.49019608,252.888816,103.5109469,203.5714286,-71.50366991,102.4208338,60,22.6,1.85,25.5,NA,8.4,5.9313,2.3,628.337,213.76,16.358,10.082,0.426974647,19,0.089489537,0.725985505,5.521472393,15.25997,5.265,12.39,-1.3129,1588.994,221.265,17.1,16.754,-7.209,NA,0.202702731,0.262424214,0.772423888,-2,-2,20,10,23.5,0,-10,-36.5,3.8,0,43,28,0,0.084859077,0.089055788,0.042339673,0.124908154,0.244428496,0.957660327,0.790232769,0.666515716,35.44444444
DobA22,14-Aug,16,5.234761336,0.604669268,3.165299303,-0.31933008,-0.554765184,0.575613051,266.4136085,0.045661724,12.16490462,2.89E+01,2.82E+01,0.686345733,0.771997635,19.82830623,21.7488889,0.81058688,11.04294479,0.149057399,65.73174654,74.35831457,2.236517637,96.81569637,0.287334798,1.019653056,3.20588792,6.913043478,0,1,0,0,0,0,6,2001,23,9,4,5,0.444444444,0.555555556,30.40396,50.5709,4.35E-06,7.23E-06,6991316.324,13893,503.2258205,39.33333333,63,0.002564383,0.9173768,16.93287,0.316610789,0.532865235,0.150523976,37.51704578,79.33070223,2002.705882,22,8,14,10,4,1,3,3,213.6754108,-64.3625192,-80,NA,100.5794102,60.08403361,811.6182817,440.6999572,133.5135135,-98.89944202,-47.42971347,60,77.1,6.51,23.8,NA,9.25,1.7345,1.933,390.204,79.462,52.037,90.863,0.55649784,5.666666667,0.103339387,0.325879492,4.90797546,156.4641,3.7062,-4.19,1.9442,3166.967,350.189,12.35,-24.681,-89.548,NA,0.201278662,0.531372253,0.378790313,-2,-3,3,10,12,-1,7,-48,19,16,0,48,0.339500347,0.282562456,0.264604953,0.286710102,0.509298697,0.55376989,0.373789551,0.208138847,0.181625156,19
DobA5,14-Aug,17,1.939297498,1,1.939297498,-0.02010181,-0.050666054,0.396751048,35.18616221,0.182676785,6.427694987,4.47E+00,8.65E+00,1,0.996211391,4.467560301,8.61888889,86.3100847,21.17647059,1.557020405,15.06589003,50.40277606,48.11831288,12.55835089,0.285169371,0.46561827,1.786707423,2.143835616,0,0,0,1,0,0,1,1995,29,33,16,17,0.484848485,0.515151515,0.6748021,8.136147,7.60E-08,9.17E-07,8874623.246,39806,222.9468735,123.7777778,245,0.018214881,0.7435721,20.35763847,0.155360862,0.47811746,0.366521678,30.15506093,75.90258609,1997.757576,19,5,14,11,3,0,3,3,11.38940858,65.92592593,-44.04761905,NA,-42.45006513,21.59090909,0.104264772,3.158815467,-57.57575758,-98.83996102,-88.77051679,42,117.1,9.45,26.4,NA,39.6,13.0955,1.8424,1487.559,110.896,373.962,86.204,0.80267413,40.44444444,0.031988642,1.038469973,2.352941176,4.427284,1.4915,6.23,-0.7821,1.551,3.503,-22.8,-331.968,-85.527,NA,0.101166007,0.101166007,1,-1,0,1,30,23.5,1,29,-18.5,1.4,0,0,0,0.370591932,0.411369912,0.3664053,0.217704166,0.34100665,0.358259619,0.411703902,0.247623438,0.275335081,89.125
DobA4,14-Aug,18,2.177716881,0.681548988,1.484220737,-0.034630358,-0.041723914,0.829988241,49.90983937,0.131682922,6.572273508,9.11065926,14.405,1,0.965636932,9.11065926,13.91,8.53652509,46.62576687,1.353802093,16.7270933,36.79445648,32.89640229,40.71610924,0.720054682,1.428617645,-0.54441356,5.833333333,0,1,0,0,0,0,4,2006,18,71,51,20,0.718309859,0.281690141,14.99472,7.538062,1.56E-05,7.86E-06,958810.7254,48773,19.65863747,82.11111111,155,0.137035646,0.5388314,4.266876059,0.093867693,0.373638072,0.532494236,50.08645118,71.83401457,2001.894737,32,14,18,12,6,3,3,2,1.271232034,-6.454316848,5,NA,-52.96326428,22.48062016,-48.00281604,-27.0985369,-28.33333333,149.9,58.50150437,20,146.6,11.93,25.8,NA,40,6.5055,1.5979,903.397,112.364,13.627,1.689,0.620810739,13.77777778,0.046669769,0.399184848,36.80981595,47.68692,0.0827,-0.77,-0.8463,-433.656,-30.449,-11.33333333,7.972,0.81,NA,1.570858272,3.77400165,0.416231475,-1,-2,10,5,21,-1,-5,1,1.6,1.6,0,0.1,0.43748106,0.532585328,0.516014749,0.142660684,0.222645573,0.30320944,0.419858256,0.244769099,0.180775811,53.54545455
DoorCreek,14-Aug,19,1.031823337,0.855150151,0.882363882,-0.019134153,-0.020894486,0.915751314,23.11855748,0.137656422,3.182417903,6.31E+00,1.07E+01,1,1,6.306255984,10.71111111,46.6079149,59.50920245,1.354198314,39.3466884,85.72194578,45.92699039,1.917467399,0.197394327,0.352502989,0.797078466,4.087837838,1,1,0,0,0,0,1,2005,19,56,36,20,0.642857143,0.357142857,24.42819,3.184825,3.24E-07,4.23E-08,75300012.92,114855,655.609359,139.3333333,264,0.006972603,0.7466366,11.28698876,0.469418588,0.168687728,0.361893685,16.6166614,83.89354275,2004.709507,45,14,31,21,10,5,5,3,7.449265276,-34.4095941,0,NA,-15.15002942,21.2244898,-16.09925719,-49.63893357,48.02631579,-93.35238982,-19.6775097,60,130,10.84,24.5,NA,7.6,25.2884,5.099,755.774,87.657,24.993,15.043,0.474972853,9.111111111,0.058418714,0.252808763,8.588957055,24.312,1.8838,-3.73,-0.7725,-121.674,-43.512,3.65,-4.918,-14.581,NA,0.01077987,0.01077987,1,0,0,5,10,60,0,5,0,12.4,78.6,45.4,0,0,0,0,0,0,0.021840472,1,1,0.978159528,27.27272727
CommAve,14-Aug,20,3.230999304,0.684952841,2.213082152,-0.051147418,-0.078541027,0.651219114,148.8898923,0.058470189,8.705620156,9.489010438,14.035,1,1,9.489010438,14.035,71.6691258,50.30674847,1.181121542,15.08786234,40.83077649,41.05391894,52.46207651,0.65079089,1.151890508,0.489114422,1.712418301,0,1,0,0,0,0,1,1991,33,49,26,23,0.530612245,0.469387755,3.495972,4.154118,2.89E-07,3.44E-07,12084635.31,45805,263.827864,73,172,0.009077938,0.78129,21.54210326,0.356779186,0.617752127,0.025468688,24.26129461,82.76000814,1998.5,27,11,16,12,4,1,3,2,-2.590389133,24.95446266,-37.93103448,NA,-59.63317085,13.60294118,16.43784089,4.237998915,121.875,154.4,-41.17503953,29,138.1,10.98,27.2,NA,12.8,3.9164,1.6002,723.112,121.614,12.3315,1.8515,0.645547787,17.33333333,0.047224878,0.528422535,34.96932515,20.26879,-0.10145,2.74,-0.95425,118.864,5.154,15.6,-5.0775,0.6925,NA,0.10127534,0.10127534,1,-1,-1,20,3,18,0,-17,-11,0,0,0.2,33,0.294318507,0.442635929,0.507705926,0.35481054,0.452714529,0.443067027,0.350870953,0.104649542,0.049227047,63.18181818
Hospital,24-Sep,1,3.500252645,0.357604449,1.25170592,-0.003739933,-0.030467981,0.122749617,163.6066199,0.009733289,1.592430438,4.12E+00,8.97E+00,0.439390862,0.520939165,1.811558451,4.67166667,41.3878724,35.97560976,1.200469207,49.59807758,63.70151412,45.48528411,83.51267438,0.326466822,0.445722572,1.822630306,0.731292517,0,1,0,0,0,0,4,1995,29,40,21,17,0.525,0.425,51.66953,91.57904,8.82E-06,1.56E-05,5858322.369,41430,141.4029054,103.2222222,235,0.023949691,0.992111,51.88251092,0.941473678,0.013748371,0.044777952,8.823230269,89.81070606,1951.75,29,13,16,10,6,4,2,1,332.1580122,29.44444444,0,234.6262341,276.8263757,10.43956044,-8.739034738,8.590710599,13.0952381,-24.25233755,-75.2897059,60,38.3,3.6,18.2,283.6,4.2,41.1462,5.4808,626.98,25.19,138.934,381.489,0.99168984,19.88888889,0.033704429,0.664772981,7.317073171,250.7786,136.6704,1.06,15.1723,-54.792,2.164,0.55,-104.603,-92.52,665.4,0.140122321,0.89773793,0.156083771,1,1,5,1,60,0,1,0,23.8,40.6,19.6,0,0.717551905,0.784852271,0.809553551,0,0,0,0.282448095,0.215147729,0.190446449,5
Lot60,24-Sep,2,1.448695338,0.593387604,0.859637855,-0.025183506,-0.030962218,0.813362466,25.03259609,0.071766763,1.796508389,13.94428649,17.04777778,0.052191226,0.217786613,0.727769407,3.71277778,29.1855235,92.07317073,1.176969177,26.27068181,52.56263026,14.95470205,5.323040279,0.51772291,1.058249376,-0.7221453,4.810810811,0,1,0,0,0,0,2,2014,10,76,58,18,0.763157895,0.236842105,13.200972,16.2225,9.41E-06,1.16E-05,1402934.574,54475,25.75373242,87.22222222,120,0.111114825,0.227592,20.31799907,0.706496428,0,0.293503572,13.62154223,86.94661041,1981.5,50,20,30,24,6,0,6,5,77.71697642,-41.74454829,-5,62.83156499,-18.34637653,3.314917127,97.99284109,139.0942681,0,-92.75034146,122.456349,60,34,3.21,18.1,301.6,7,56.066,3.1434,495.327,52.775,68.956,55.644,0.440975654,17.88888889,0.103013589,0.812629339,82.31707317,30.8954,43.5728,-1.34,-0.5767,485.385,73.407,0,84.441,-51.61,189.5,2.744439189,2.972951602,0.923136181,1,-2,0,0,57,-3,-5,-3,10,100,82.2,0,0.209558565,0.398293209,0.384797369,0,0,0,0.790441435,0.601706791,0.615202631,58.75
Garner,24-Sep,3,3.278332665,0.490530816,1.608123198,-0.034120253,-0.094700794,0.360295321,143.3236655,0.029871302,4.281264532,6.235505552,9.36388889,0.171473097,0.386354198,1.069221448,3.61777778,86.4628674,26.70807453,1.424191303,31.44839549,60.32523851,48.31526453,18.66001735,0.312829948,0.793722918,2.402635665,2.206896552,0,0,0,1,0,0,1,1992,32,46,30,16,0.652173913,0.347826087,0.540201,5.053392,1.15E-07,1.08E-06,4699329.554,32388,145.0947744,75.88888889,159,0.01715977,0.8946324,23.07196428,0.662872109,0.025269228,0.311858663,36.73445842,83.92682637,1974.272727,24,5,19,15,4,2,2,2,19.25513977,42.55952381,-6.666666667,22.76350753,-34.4179404,6.629834254,-45.35051669,22.53650968,-20.83333333,-91.91729323,-84.25729401,30,35.6,3.36,18.1,112.9,6,9.5481,2.5908,411.949,109.56,63.134,107.464,0.530989071,32.11111111,0.073794573,1.258245368,3.726708075,30.02581,1.8385,1.43,-0.8917,-186.821,24.691,-1.25,-53.195,-98.778,25.7,0.333521446,0.333521446,1,0,-1,10,5,28,-1,-5,-2,47.6,28.2,0,0,0.235814359,0.241602088,0.230451406,0.00950452,0.248799505,0.368767555,0.754681121,0.509598407,0.400781039,229.25
DobA7,24-Sep,4,2.847135627,0.56682682,1.613832834,-0.045084269,-0.045084269,1,249.4473042,0.004796118,1.196378786,9.17E+00,1.16E+01,0.281881058,0.525536993,2.585324322,6.11666667,10.4925481,100,1.072280931,42.56384685,68.90257122,70.50687248,31.50067207,0.230522677,0.66472948,2.38350052,1.758893281,1,0,0,0,1,0,1,1969,55,37,19,18,0.513513514,0.486486486,49.11947,83.91266,1.05E-06,1.79E-06,46778291.31,186680,250.5800906,63.33333333,171,0.00829222,0.624287,46.94313485,0.842322289,0.103857724,0.053819987,10.33797557,89.25991815,1984.87234,23,8,15,11,4,2,2,2,84.72700287,10.43219076,21.73913043,58.7138863,37.71978984,9.836065574,-48.41334404,-31.95775043,-3.333333333,-76.83718636,-65.03914597,23,71.3,6.71,18.3,107.3,15,12.6668,2.855,583.901,49.894,219.946,235.183,0.945319775,18.66666667,0.033696857,0.594613699,100,250.5936,10.7322,0.7,1.0769,-282.686,-15.945,-0.5,-143.051,-180.708,63,0.443840914,0.565102453,0.785416717,0,-1,20,10,28,-1,-10,5,0,0.4,0,0,0.007423579,0.339219211,0.593748408,0,0,0,0.992576421,0.660780789,0.406251592,3
Owen,24-Sep,5,3.81124552,0.66923045,2.550601554,-0.156030739,-0.156030739,1,156.0627997,0.034453216,5.376865404,6.32E+00,1.37E+01,0.091517686,0.215847217,0.578320499,2.95111111,12.5287078,34.96932515,1.613186337,8.631353665,22.14660246,12.63777421,75.01123596,1.770612601,2.677166695,0.236462522,1.541666667,1,0,0,0,0,1,1,2007,17,51,39,12,0.764705882,0.235294118,22.23179,24.20726,2.38E-06,2.59E-06,9355776.201,25596,365.5171199,79.11111111,251,0.007100923,1.2463776,15.9658438,0.238042049,0.570716691,0.19124126,66.66742354,77.51786587,1971.191304,29,14,15,6,9,2,7,5,-22.25481431,18.82352941,-41.45454545,-19.73154362,-30.05219518,9.444444444,-51.72850574,-54.15523072,106.6666667,-65.06790768,-16.83547055,55,26.9,2.55,18,298,9,40.6029,12.7598,826.581,295.122,23.005,10.529,0.462516451,21.44444444,0.104298127,1.034471413,23.31288344,174.1895,-9.0361,0.48,-3.8346,-427.578,-159.824,9.6,-3.873,-6.851,-58.8,1.261947967,1.261947967,1,0,0,0,0,32.2,0,0,-22.8,0,0,63,0.1,0.122175928,0.153567583,0.128710908,0.09974243,0.357315737,0.38258963,0.778081642,0.48911668,0.488699463,101.5
HPChurch,24-Sep,6,5.555487175,0.321181457,1.784319466,-0.037299802,-0.040040554,0.931550597,137.6269647,0.033552631,4.617746744,7.799965071,11.455,0.178159889,0.399388913,1.389640909,4.575,0.575786749,100,1.324469073,26.42565973,54.05277837,48.94228706,78.19137524,0.483742043,1.146369409,2.506228898,1.684931507,1,0,1,0,0,0,1,2000,24,67,43,24,0.641791045,0.358208955,156.0725,183.3525,2.68E-06,3.15E-06,58228826.73,159671,364.6800404,59.55555556,104,0.005357909,0.7919103,32.21382276,0.334250136,0.520321166,0.145428698,45.11306301,79.90694143,1982.726212,38,16,22,14,8,3,5,3,-8.199876849,294.4700461,68.82352941,-4.946996466,-22.06306643,6.043956044,-20.30896364,-36.16308167,-9.677419355,-95.60088699,-12.88105856,34,23.1,2.17,18.2,169.8,7.75,19.3259,2.9461,524.463,154.254,27.358,119.956,0.55546013,19.66666667,0.059759826,0.652819281,19.63190184,1851.045,-1.5847,6.39,-0.65,-106.513,-55.783,-0.75,-3.524,-114.679,-8.4,0.670023198,1.934030952,0.346438715,2,2,1,2,57.4,0,1,23.4,4.2,78,22.2,2.8,0,0.17209401,0.283071155,0.135171412,0.410960944,0.450103817,0.864828588,0.416945046,0.266825028,50.86363636
DobA8,24-Sep,7,3.401545816,0.40021715,1.361356972,-0.039510518,-0.041338368,0.955783208,210.3915428,0.005447831,1.146177662,3.832739276,7.61,0.152780132,0.362680683,0.585566414,2.76,100,12.12121212,1.73162149,21.35727277,44.23508015,0.107854333,99.88580129,0.598269088,1.023529815,0.032566532,1.423529412,1,0,1,0,0,0,1,1998,26,45,26,19,0.577777778,0.422222222,55.55979,48.31733,4.51E-06,3.92E-06,12329890.28,50304,245.1075517,106.1111111,191,0.014203298,1.0960939,11.73447728,0.193259913,0.472137069,0.334603017,0.342623873,77.99923201,2001.746479,23,8,15,11,4,2,2,2,-9.694185345,83.77581121,3.703703704,-16.06648199,-31.76417336,4.301075269,-49.8627245,-26.79304713,158.4615385,-91.92280637,-62.11995135,54,36.2,3.39,18.6,72.2,6.5,2.1549,0.8837,614.822,85.720,15.623,32.697,0.632610775,28,0.04107763,0.727612238,1.212121212,110.823,-0.2089,2.84,-0.2807,-306.567,-22.967,10.3,-9.705,-30.056,-11.6,0.019947122,0.112764042,0.176892574,0,0,5,10,56,0,5,2,29.7,6.8,0,0,0.085283283,0.153896482,0.133889156,0.292251963,0.304997676,0.331509167,0.622464754,0.541105842,0.534601677,10
Midtown,24-Sep,8,1.841799064,1,1.841799064,-0.074834554,-0.074834554,1,5.338827634,0.795689737,4.248050358,5.698305065,9.78,0.250433512,0.45819132,1.427046551,4.48111111,6.8530436,37.33333333,1.666093524,16.13281433,30.21619847,32.84247057,78.16911316,1.207013533,1.587488846,-0.04471065,3.566433566,1,0,1,0,0,0,1,2002,22,59,47,12,0.796610169,0.203389831,77.88487,46.94285,1.21E-05,7.27E-06,6457203.642,48765,132.4147163,80.66666667,129,0.019986783,0.9466334,32.79349173,0.323294417,0.451831087,0.224874496,11.805817,78.2639153,2003.967105,29,12,17,11,6,3,3,3,11.27862115,53.47091932,-6.666666667,11.82682154,-4.404844074,12.76595745,-54.51072294,-29.89900359,173.0769231,-96.62483932,-82.07907462,60,57.2,5.33,18.8,94.7,6.5,4.7692,1.5937,804.35,73.765,72.792,81.685,0.492481948,22.77777778,0.05801232,0.650761575,20,114.3176,0.5379,2.85,-0.0702,-438.457,-22.055,11.25,-59.747,-78.928,11.2,0.309984683,1.389412405,0.223104877,0,-1,0,0,56,-1,0,-4,55,98,0.2,0,0.041929917,0.090713824,0.102707657,0.148658198,0.22224717,0.220394233,0.809411885,0.687039006,0.676898111,71.17647059
Elver,24-Sep,9,3.620019108,0.469841896,1.700836643,-0.043255411,-0.044520941,0.9715745,100.0270129,0.048471146,4.84842392,6.110211532,11.38277778,0.230454285,0.461027869,1.408124432,5.24777778,0.091614558,43.03030303,1.622837082,29.28314654,56.27828294,59.32332417,61.49080144,0.482540753,1.068733715,0.016939567,2.213414634,1,0,1,0,0,0,1,1968,56,60,41,19,0.683333333,0.316666667,102.5599,74.99122,8.10E-06,5.92E-06,12664505.49,93049,136.1057667,100.1111111,237,0.02413186,1.2160701,19.82099894,0.129629228,0.253059169,0.617311583,0.347671366,70.51125449,1987.255583,30,12,19,14,5,3,2,1,-4.530737103,-40.72847682,-48.33333333,-4.168618267,-14.25995323,9.677419355,-48.63333029,-34.06158702,89.83957218,-72.44933013,44.71978163,60,65,6.04,18.6,213.5,22,31.3172,3.5491,634.462,93.786,23.446,23.288,0.629364504,23.44444444,0.052428647,0.77358999,35.75757576,658.4761,-1.4189,-2.46,-0.5061,-308.56,-31.945,19.76470588,10.485,-16.872,-8.9,1.525517628,2.715259286,0.56183129,0,-1,5,2,31,-1,-3,-29,24,35,17.2,0,0,0.068233845,0.100900276,0,0,0.056402711,1,0.931766155,0.842697013,3
TwoFountains,24-Sep,10,1.62389704,0.25431465,0.412980807,-0.020242642,-0.028023592,0.722342875,70.12561029,0.03348987,2.348497571,2.683585783,7.22333333,0.245994596,0.435548377,0.6601476,3.14611111,54.51934794,48.48484848,1.455993034,19.94756206,45.43071003,33.67023301,38.13591576,0.70870095,1.066969898,-0.288019491,0.778145695,1,1,0,0,0,0,1,1988,36,29,11,18,0.379310345,0.620689655,13.11719,10.23678,1.09E-05,8.50E-06,1203934.68,51799,23.24243093,100,200,0.141157347,0.7010321,54.36319086,0.114449641,0.801048372,0.084502023,0.433688906,70.60835713,1982.775,26,9,18,11,7,3,4,2,0.191380841,1.179245283,0,7.050268732,-3.201440648,6.632653061,-35.76247701,-45.36553372,-8.536585366,123.528768,-59.69179033,60,92.8,8.48,19.6,316.3,8.2,61.23915,0.99955,991.584,85.382,304.2085,18.2755,0.629364504,23.44444444,0.052428647,0.77358999,20.60606061,14.50258,0.1172,0.1,-0.032,-354.615,-38.734,-0.7,-181.5875,22.5755,22.3,0.082191971,1.027099819,0.080023353,0,0,40,40,60,0,0,0,,12.5,2,1,0,0.042693188,0.129448023,0.832420385,0.839518762,0.704364322,0.167579615,0.11778805,0.166187655,0
Greentree,24-Sep,11,4.475781178,0.378535889,1.694243807,-0.030144874,-0.033576509,0.897796552,166.9106513,0.021790874,3.637128951,7.503719506,11.18666667,0.204159798,0.443484306,1.531957856,4.96111111,9.021725416,80.60606061,1.340920376,40.68459554,78.3056366,72.61617827,28.19146687,0.238745623,0.571923596,2.349449243,1.09,1,0,1,0,0,0,1,1972,52,66,35,31,0.53030303,0.46969697,40.51826,129.6276,9.07E-07,2.90E-06,44652977.5,79133,564.277577,316,600,0.018372968,0.8058982,33.70960849,0.446084515,0.458416149,0.09549954,0.185337626,82.23309923,1980.969331,34,10,24,14,10,5,5,3,14.44192414,235.2272727,0,2.606635071,-21.05194466,11.11111111,-38.26520005,-40.39064459,-9.420289855,-73.96708497,-43.61883154,44,19,1.76,18.9,211,17.25,28.5239,3.831,620.475,127.584,148.092,150.448,0.629364504,23.44444444,0.052428647,0.77358999,33.33333333,871.6554,4.1194,4.14,-0.8065,-237.426,-51.532,-1.625,-64.596,-111.282,5.5,0.171297598,0.507888074,0.337274307,1,-1,5,5,44,-2,0,0,,13.5,5,3,0,0.05399879,0.094238516,0.085837626,0.397266237,0.484858926,0.914162374,0.548734973,0.420902558,14
MarionDunn,24-Sep,12,5.722228097,0.559904284,3.203900025,-0.068031619,-0.068031619,1,279.5507987,0.025592095,7.154290518,12.23495628,14.29055556,0.111811388,0.387513121,1.368007443,5.53777778,13.1890054,78.52760736,0.596055471,24.81787796,58.13335619,55.57293452,48.03093932,0.527212141,1.390289043,2.15143406,1.221374046,0,1,0,0,0,0,2,1983,41,19,11,8,0.578947368,0.421052632,20.95385,70.30857,1.04E-06,3.48E-06,20203844.92,59167,341.4715115,108.7777778,210,0.01045131,0.8893062,18.94910069,0.308778602,0.598991254,0.092230144,58.63007216,80.76484696,1945.845898,27,7,20,14,6,0,6,4,2.586501391,37.85488959,27.65957447,17.52941176,11.71531117,17.36842105,2.172701197,19.26117645,-75,-93.93828268,108.7006442,47,34.1,3.17,19,85,16,4.0982,1.4767,1110.415,198.207,290.898,128.165,0.384848439,37.33333333,0.084246723,1.21042954,35.58282209,239.2903,0.106,1.2,0.173,24.126,38.177,-12,316.208,-120.396,14.9,0.698912588,0.818487492,0.853907475,-1,-3,5,5,60,-2,0,13,2.1,0,0.4,0,0.100534951,0.172814643,0.168351477,0.006045028,0.170239122,0.229996444,0.893420021,0.656946235,0.601652079,47.07142857
Manitou,24-Sep,13,4.487895723,0.543284828,2.438205658,-0.072375062,-0.339591744,0.213123738,256.8896754,0.026698256,6.858506342,10.573727,15.05166667,0.201729828,0.464068209,2.133036131,6.985,52.5912249,92.82051282,NA,11.63919218,59.71776208,53.22736031,0.308641975,0.27827824,0.513956629,NA,0.75,1,0,0,1,0,0,1,2009,15,92,67,25,0.72826087,0.27173913,4.535772,47.1153,1.17E-07,1.21E-06,38827791.01,64464,602.3174331,67.11111111,120,0.003655561,0.7599124,17.90232656,0.303898915,0.571125127,0.124975959,55.13583243,80.1644974,1951.169672,29,14,15,5,10,5,5,3,44.19865876,59.86078886,-54.34782609,91.12903226,86.88084999,22.91666667,99.23195285,56.05258514,176.9230769,-97.16974764,-41.54105737,23,93.3,8.62,19.2,210.8,20,30.867,3.953,1150.32,147.342,26.67,103.701,0.631047279,29.44444444,0.07080484,1.31561316,15.38461538,217.1877,13.6428,5.16,3.4344,1141.485,82.589,35.38461538,-11.079,-100.766,192.1,0.427829718,0.427829718,1,0,-1,5,5,10.5,-1,0,-12.5,0,14.2,0.3,0,0.120450308,0.134079353,0.12724879,0.043844368,0.181423072,0.238169824,0.835705324,0.684497576,0.634581386,68
MadCity,24-Sep,14,3.611384246,0.358862108,1.295988965,-0.042005405,-0.046571126,0.901962409,341.8594808,0.004471223,1.528529957,7.25E+00,1.16E+01,0.1461601,0.312803034,1.060240817,3.62,4.89152772,100,1.842736426,31.9422426,61.70572861,0,0,0.540254981,0.969355696,0.855442336,0.639269406,0,1,0,0,0,0,2,2009,15,52,35,17,0.673076923,0.326923077,19.16253,53.96582,1.62E-06,4.57E-06,11818534.65,29134,405.6612427,128.2222222,128.2222222,0.010370145,1.0103613,38.10530278,0.580161911,0.315311566,0.104526523,29.04782906,84.58433045,1968.5,26,11,15,11,4,0,4,2,2.796498852,-16.21052632,111.2676056,12.18074656,4.339707055,9.743589744,-37.72147593,-13.02747267,-88.48684211,-92.96808927,-5.550008321,28.4,51.7,4.75,19.5,101.8,15.2,8.1459,5.1409,1105.312,116.807,180.27,219.926,0.502038978,4.444444444,0.077133457,0.172106675,100,155.6037,0.2278,-0.77,0.2231,-416.94,-15.217,-13.45,-10.005,-204.461,12.4,1.448291207,1.448291207,1,-2,1,20,20,60,3,0,31.6,0,0,68.2,0,0.046291709,0.13426762,0.1706796,0,0,0,0.953708291,0.86573238,0.8293204,158.7
